"Year","Population_in_Thousands"
"1958",173396
"1959",176375
"1960",179207
"1961",182198
"1962",184951
"1963",187636
"1964",190287
"1965",192663
"1966",194708
"1967",196584
"1968",198534
"1969",200543
"1970",202545.363
"1971",206077.244
"1972",208541.666
"1973",210625.99
"1974",212623.607
"1975",214758.379
"1976",216870.437
"1977",219082.64
"1978",221430.028
"1979",223917.225
"1980",226586.435
"1981",228828.824
"1982",231030.278
"1983",233159.559
"1984",235191.519
"1985",237289.247
"1986",239494.614
"1987",241651.988
"1988",243868.551
"1989",246195.062
"1990",248860.582
"1991",251559.853
"1992",254445.516
"1993",257206.25
"1994",259762.039
"1995",262252.003
"1996",264690.299
"1997",267254.855
"1998",269726.577
"1999",272171.813
"2000",281590.365
"2001",284394.451
"2002",287052.035
"2003",289539.431
"2004",292237.544
"2005",294949.463
"2006",297809.231
"2007",300656.803
"2008",303513.73
"2009",306179.301
"2010",308716.44
"2011",310937.074
"2012",313196.066
"2013",315343.134
"2014",317638.68
"2015",319959.763
"2016",322255.496
"2017",324290.633
"2018",325985.954
"2019",327533.774
